[00:13:52] [ERR] Failed to check the state of sock (session id: 8f52e12c-be5d-4400-be2f-7ab96e167cd0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:14:02] [ERR] Failed to check the state of sock (session id: 8f52e12c-be5d-4400-be2f-7ab96e167cd0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:14:12] [ERR] Failed to check the state of sock (session id: 8f52e12c-be5d-4400-be2f-7ab96e167cd0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:14:22] [ERR] Failed to check the state of sock (session id: 8f52e12c-be5d-4400-be2f-7ab96e167cd0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:14:32] [ERR] Failed to check the state of sock (session id: 8f52e12c-be5d-4400-be2f-7ab96e167cd0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:03] [ERR] Failed to check the state of sock (session id: f5e9af4a-2b1b-4620-8aba-36888ec2d4f1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:13] [ERR] Failed to check the state of sock (session id: f5e9af4a-2b1b-4620-8aba-36888ec2d4f1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:23] [ERR] Failed to check the state of sock (session id: f5e9af4a-2b1b-4620-8aba-36888ec2d4f1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:33] [ERR] Failed to check the state of sock (session id: f5e9af4a-2b1b-4620-8aba-36888ec2d4f1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:43] [ERR] Failed to check the state of sock (session id: f5e9af4a-2b1b-4620-8aba-36888ec2d4f1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:17:44] [ERR] Failed to check the state of sock (session id: aa452049-59f8-42f7-a6eb-5f6e7ceaa547, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
