[00:13:10] [ERR] Failed to check the state of sock (session id: 12a665bf-ef7b-44df-af75-ce6263a269d3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:14:41] [ERR] Failed to check the state of sock (session id: 2c906e00-cae2-4295-8ec4-33273456b821, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:14:51] [ERR] Failed to check the state of sock (session id: 2c906e00-cae2-4295-8ec4-33273456b821, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:15:01] [ERR] Failed to check the state of sock (session id: 2c906e00-cae2-4295-8ec4-33273456b821, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:15:11] [ERR] Failed to check the state of sock (session id: 2c906e00-cae2-4295-8ec4-33273456b821, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:15:21] [ERR] Failed to check the state of sock (session id: 2c906e00-cae2-4295-8ec4-33273456b821, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:52] [ERR] Failed to check the state of sock (session id: f3bdd6e1-58b0-41a1-9d7d-80137fd13755, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:17:02] [ERR] Failed to check the state of sock (session id: f3bdd6e1-58b0-41a1-9d7d-80137fd13755, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:17:12] [ERR] Failed to check the state of sock (session id: f3bdd6e1-58b0-41a1-9d7d-80137fd13755, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:17:22] [ERR] Failed to check the state of sock (session id: f3bdd6e1-58b0-41a1-9d7d-80137fd13755, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:17:32] [ERR] Failed to check the state of sock (session id: f3bdd6e1-58b0-41a1-9d7d-80137fd13755, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:03] [ERR] Failed to check the state of sock (session id: e69670ee-a9de-4511-a635-29243048f638, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:13] [ERR] Failed to check the state of sock (session id: e69670ee-a9de-4511-a635-29243048f638, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:23] [ERR] Failed to check the state of sock (session id: e69670ee-a9de-4511-a635-29243048f638, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:19:33] [ERR] Failed to check the state of sock (session id: e69670ee-a9de-4511-a635-29243048f638, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:19:43] [ERR] Failed to check the state of sock (session id: e69670ee-a9de-4511-a635-29243048f638, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:20:35] [ERR] Failed to check the state of sock (session id: 84b7531f-71b2-43ed-a82e-d7869e539648, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:20:45] [ERR] Failed to check the state of sock (session id: 84b7531f-71b2-43ed-a82e-d7869e539648, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:20:55] [ERR] Failed to check the state of sock (session id: 84b7531f-71b2-43ed-a82e-d7869e539648, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:21:05] [ERR] Failed to check the state of sock (session id: 84b7531f-71b2-43ed-a82e-d7869e539648, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:21:15] [ERR] Failed to check the state of sock (session id: 84b7531f-71b2-43ed-a82e-d7869e539648, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:22:46] [ERR] Failed to check the state of sock (session id: c99c2325-b12a-4cd6-a9aa-22a7d770f67b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:22:56] [ERR] Failed to check the state of sock (session id: c99c2325-b12a-4cd6-a9aa-22a7d770f67b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:06] [ERR] Failed to check the state of sock (session id: c99c2325-b12a-4cd6-a9aa-22a7d770f67b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:16] [ERR] Failed to check the state of sock (session id: c99c2325-b12a-4cd6-a9aa-22a7d770f67b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:23:26] [ERR] Failed to check the state of sock (session id: c99c2325-b12a-4cd6-a9aa-22a7d770f67b, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:24:26] [ERR] Failed to check the state of sock (session id: 003de911-0558-4e92-a841-fd9ab730879b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:24:36] [ERR] Failed to check the state of sock (session id: 003de911-0558-4e92-a841-fd9ab730879b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:24:46] [ERR] Failed to check the state of sock (session id: 003de911-0558-4e92-a841-fd9ab730879b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:24:56] [ERR] Failed to check the state of sock (session id: 003de911-0558-4e92-a841-fd9ab730879b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:25:07] [ERR] Failed to check the state of sock (session id: 003de911-0558-4e92-a841-fd9ab730879b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:26:37] [ERR] Failed to check the state of sock (session id: 9396412b-73ab-43c5-9bcb-1071b2284d56, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:26:48] [ERR] Failed to check the state of sock (session id: 9396412b-73ab-43c5-9bcb-1071b2284d56, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:26:58] [ERR] Failed to check the state of sock (session id: 9396412b-73ab-43c5-9bcb-1071b2284d56, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:08] [ERR] Failed to check the state of sock (session id: 9396412b-73ab-43c5-9bcb-1071b2284d56, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:27:18] [ERR] Failed to check the state of sock (session id: 9396412b-73ab-43c5-9bcb-1071b2284d56, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:28:09] [ERR] Failed to check the state of sock (session id: e3dcc086-72de-4dd6-a8d0-b45f9b03536a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:28:19] [ERR] Failed to check the state of sock (session id: e3dcc086-72de-4dd6-a8d0-b45f9b03536a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:28:29] [ERR] Failed to check the state of sock (session id: e3dcc086-72de-4dd6-a8d0-b45f9b03536a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
