[00:14:46] [ERR] Failed to check the state of sock (session id: 70457d94-8710-455e-8374-2933cc8e7865, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:14:56] [ERR] Failed to check the state of sock (session id: 70457d94-8710-455e-8374-2933cc8e7865, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:15:06] [ERR] Failed to check the state of sock (session id: 70457d94-8710-455e-8374-2933cc8e7865, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:15:16] [ERR] Failed to check the state of sock (session id: 70457d94-8710-455e-8374-2933cc8e7865, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:15:26] [ERR] Failed to check the state of sock (session id: 70457d94-8710-455e-8374-2933cc8e7865, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:27] [ERR] Failed to check the state of sock (session id: 4f6eeb3f-ff5c-4346-956c-bcda921d4783, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:37] [ERR] Failed to check the state of sock (session id: 4f6eeb3f-ff5c-4346-956c-bcda921d4783, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:47] [ERR] Failed to check the state of sock (session id: 4f6eeb3f-ff5c-4346-956c-bcda921d4783, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:16:57] [ERR] Failed to check the state of sock (session id: 4f6eeb3f-ff5c-4346-956c-bcda921d4783, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:17:07] [ERR] Failed to check the state of sock (session id: 4f6eeb3f-ff5c-4346-956c-bcda921d4783, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:17:59] [ERR] Failed to check the state of sock (session id: e1ed4d81-0376-43ec-8354-ffeb1d15eddb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:18:09] [ERR] Failed to check the state of sock (session id: e1ed4d81-0376-43ec-8354-ffeb1d15eddb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:18:19] [ERR] Failed to check the state of sock (session id: e1ed4d81-0376-43ec-8354-ffeb1d15eddb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:18:29] [ERR] Failed to check the state of sock (session id: e1ed4d81-0376-43ec-8354-ffeb1d15eddb, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
